id,filename,n_blocks,population,generations,mode,fitness,params_mb,params,flops,total_conv_fc_flops,acts,op_codes,width_codes,test_acc_top1
695af871,search_nblk20_lpop10_lgen2__layer_ea.json,20,10,2,layer_ea,2592810.0,3.413146,3413146,274938624,266851072,3652458,"[6, 6, 14, 6, 15, 15, 2, 1, 13, 5, 9, 4, 14, 13, 7, 15, 0, 1, 15, 14]","[2, 2, 1, 2, 2, 2, 2]",
e78db2dd,search_nblk10_lpop20_lgen8__layer_ea.json,10,20,8,layer_ea,1622538.0,0.322826,322826,106868992,101126400,2466562,"[7, 13, 7, 15, 14, 5, 5, 14, 4, 14]","[0, 2, 1, 2, 2, 2, 2]",
625a26a4,search_nblk10_pop48_gen300__global_ea.json,10,48,300,global_ea,2355313.0,0.373946,373946,140399360,133321472,3113690,"[6, 15, 15, 7, 15, 14, 6, 6, 6, 6]","[2, 2, 2, 2, 1, 1, 2]",84.08
1f9e9165,search_nblk20_pop48_gen50__global_ea.json,20,48,50,global_ea,2838498.0,3.115868,3115868,332821192,323703496,4046177,"[15, 3, 7, 8, 14, 7, 6, 4, 1, 15, 15, 15, 14, 15, 4, 4, 11, 14, 14, 14]","[2, 1, 2, 2, 2, 2, 2]",
27f93273,search_nblk5_pop48_gen100__global_ea.json,5,48,100,global_ea,2050387.0,0.100986,100986,89356800,83065344,2572418,"[7, 6, 14, 14, 14]","[2, 2, 2, 0, 0, 1, 1]",
12d03d29,search_nblk20_pop32_gen300__global_ea.json,20,32,300,global_ea,3133023.0,5.449034,5449034,354935808,344646656,4443370,"[15, 14, 14, 5, 5, 7, 15, 13, 15, 2, 12, 14, 7, 7, 15, 15, 15, 7, 7, 5]","[2, 2, 2, 2, 2, 2, 2]",87.81
89739cd0,search_nblk20_pop16_gen300__global_ea.json,20,16,300,global_ea,2808522.0,2.560654,2560654,292692168,284221640,3856681,"[15, 2, 7, 4, 13, 15, 8, 7, 6, 14, 14, 6, 14, 6, 10, 14, 2, 4, 10, 15]","[0, 1, 2, 2, 2, 2, 0]",
d63677db,search_nblk5_lpop16_lgen12__layer_ea.json,5,16,12,layer_ea,1780415.0,0.122514,122514,81031056,74641296,2413184,"[6, 15, 15, 7, 15]","[2, 1, 2, 2, 2, 2, 2]",
20cf66f2,search_nblk10_pop10_gen50__global_ea.json,10,10,50,global_ea,1818111.0,0.327922,327922,111286016,105428736,2519730,"[4, 5, 5, 15, 3, 7, 6, 6, 12, 6]","[1, 2, 2, 2, 0, 2, 1]",
1280608e,search_nblk15_pop10_gen50__global_ea.json,15,10,50,global_ea,2312826.0,0.669706,669706,151936256,144898304,3100514,"[5, 4, 13, 6, 15, 7, 4, 14, 2, 4, 15, 4, 11, 13, 11]","[2, 2, 2, 2, 1, 0, 1]",87.09
00166509,search_nblk5_pop32_gen100__global_ea.json,5,32,100,global_ea,2074067.0,0.103418,103418,70929152,64768768,2359786,"[14, 7, 15, 15, 12]","[2, 2, 1, 2, 2, 2, 1]",
4aa3cf00,search_nblk10_lpop40_lgen8__layer_ea.json,10,40,8,layer_ea,1732633.0,0.480202,480202,99554432,93918336,2385582,"[14, 7, 15, 4, 7, 6, 6, 5, 15, 15]","[2, 2, 0, 2, 2, 2, 2]",
9e46ec8b,search_nblk5_pop48_gen200__global_ea.json,5,48,200,global_ea,2131782.0,0.10761,107610,88266880,81991808,2507022,"[13, 14, 7, 14, 14]","[2, 2, 2, 0, 1, 0, 1]",78.66
2876d3b5,search_nblk20_pop10_gen50__global_ea.json,20,10,50,global_ea,2573228.0,2.411818,2411818,296305280,287963776,3922966,"[15, 9, 14, 14, 14, 11, 7, 14, 5, 12, 12, 6, 13, 12, 14, 6, 4, 13, 4, 2]","[2, 2, 2, 2, 2, 2, 1]",
19c1cb42,search_nblk15_pop32_gen100__global_ea.json,15,32,100,global_ea,2692960.0,1.192258,1192258,219644160,211657984,3602442,"[9, 5, 14, 6, 7, 14, 15, 6, 15, 13, 8, 15, 14, 5, 12]","[1, 2, 2, 2, 2, 1, 0]",
c0034e10,search_nblk10_pop16_gen200__global_ea.json,10,16,200,global_ea,2168274.0,0.458746,458746,116784256,110148736,2819678,"[7, 7, 7, 6, 6, 7, 12, 15, 15, 16]","[2, 2, 2, 2, 1, 1, 2]",
