id,filename,n_blocks,samples,seed,mode,fitness,params_mb,params,flops,total_conv_fc_flops,acts,op_codes,width_codes
1b9c9ba4,random_run_nblk5_samples50_seed0.json,5,50,0,random,1531283.0,0.117466,117466,77113984,71461504,2081318,"[16, 8, 13, 15, 15]","[2, 2, 2, 1, 0, 1, 2]"
96d533a5,random_run_nblk5_samples50_seed1.json,5,50,1,random,1651919.0,0.057738,57738,47656960,42446848,2048090,"[10, 6, 6, 12, 13]","[2, 2, 0, 1, 0, 1, 0]"
34a95ba1,random_run_nblk5_samples50_seed2.json,5,50,2,random,1679511.0,0.077498,77498,69920768,64514048,2179082,"[2, 2, 6, 6, 4]","[2, 2, 2, 1, 0, 2, 1]"
14521537,random_run_nblk5_samples100_seed0.json,5,100,0,random,1636837.0,0.096938,96938,79253760,73388288,2326738,"[1, 12, 14, 7, 6]","[2, 2, 2, 0, 2, 2, 1]"
b09893e1,random_run_nblk5_samples100_seed1.json,5,100,1,random,1651919.0,0.057738,57738,47656960,42446848,2048090,"[10, 6, 6, 12, 13]","[2, 2, 0, 1, 0, 1, 0]"
9fe4051b,random_run_nblk5_samples100_seed2.json,5,100,2,random,1679511.0,0.077498,77498,69920768,64514048,2179082,"[2, 2, 6, 6, 4]","[2, 2, 2, 1, 0, 2, 1]"
a4deab82,random_run_nblk5_samples160_seed0.json,5,160,0,random,1636837.0,0.096938,96938,79253760,73388288,2326738,"[1, 12, 14, 7, 6]","[2, 2, 2, 0, 2, 2, 1]"
aa640fb6,random_run_nblk5_samples160_seed1.json,5,160,1,random,1756141.0,0.088138,88138,54480512,48565888,2179702,"[7, 15, 15, 13, 13]","[2, 2, 0, 2, 0, 2, 1]"
1cfe9b0e,random_run_nblk5_samples160_seed2.json,5,160,2,random,1679511.0,0.077498,77498,69920768,64514048,2179082,"[2, 2, 6, 6, 4]","[2, 2, 2, 1, 0, 2, 1]"
24e33f4b,random_run_nblk5_samples200_seed0.json,5,200,0,random,1637140.0,0.070874,70874,62008448,57166976,1871942,"[2, 5, 6, 16, 14]","[1, 0, 2, 1, 1, 0, 2]"
e21550f0,random_run_nblk5_samples200_seed1.json,5,200,1,random,1756141.0,0.088138,88138,54480512,48565888,2179702,"[7, 15, 15, 13, 13]","[2, 2, 0, 2, 0, 2, 1]"
bc854d82,random_run_nblk5_samples200_seed2.json,5,200,2,random,1865498.0,0.129314,129314,83403008,77111552,2376290,"[14, 8, 15, 7, 15]","[0, 2, 2, 1, 2, 2, 2]"
dfcaa700,random_run_nblk5_samples300_seed0.json,5,300,0,random,1637140.0,0.070874,70874,62008448,57166976,1871942,"[2, 5, 6, 16, 14]","[1, 0, 2, 1, 1, 0, 2]"
8f11fcf1,random_run_nblk5_samples300_seed1.json,5,300,1,random,1756141.0,0.088138,88138,54480512,48565888,2179702,"[7, 15, 15, 13, 13]","[2, 2, 0, 2, 0, 2, 1]"
edee5398,random_run_nblk5_samples300_seed2.json,5,300,2,random,1865498.0,0.129314,129314,83403008,77111552,2376290,"[14, 8, 15, 7, 15]","[0, 2, 2, 1, 2, 2, 2]"
95b97f64,random_run_nblk5_samples320_seed0.json,5,320,0,random,1637140.0,0.070874,70874,62008448,57166976,1871942,"[2, 5, 6, 16, 14]","[1, 0, 2, 1, 1, 0, 2]"
9a6bf5c1,random_run_nblk5_samples320_seed1.json,5,320,1,random,1756141.0,0.088138,88138,54480512,48565888,2179702,"[7, 15, 15, 13, 13]","[2, 2, 0, 2, 0, 2, 1]"
3b16ff45,random_run_nblk5_samples320_seed2.json,5,320,2,random,1865498.0,0.129314,129314,83403008,77111552,2376290,"[14, 8, 15, 7, 15]","[0, 2, 2, 1, 2, 2, 2]"
ccaa3596,random_run_nblk5_samples400_seed0.json,5,400,0,random,1638230.0,0.06953,69530,51998304,46820960,1921384,"[13, 15, 15, 7, 12]","[1, 0, 1, 1, 0, 2, 1]"
3f4ff3ca,random_run_nblk5_samples400_seed1.json,5,400,1,random,1878810.0,0.090346,90346,66873088,60827392,2351474,"[15, 15, 15, 6, 6]","[0, 2, 1, 2, 2, 2, 1]"
236a65c0,random_run_nblk5_samples400_seed2.json,5,400,2,random,1865498.0,0.129314,129314,83403008,77111552,2376290,"[14, 8, 15, 7, 15]","[0, 2, 2, 1, 2, 2, 2]"
